CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//7/20/2012 12:57:03 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//7/20/2012 12:57:04 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//7/20/2012 12:57:04 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//7/20/2012 12:57:05 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//7/20/2012 12:57:05 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//7/20/2012 12:57:05 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//7/20/2012 12:57:06 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//7/20/2012 12:57:06 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//7/20/2012 12:57:06 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//7/20/2012 12:57:07 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//7/20/2012 12:57:07 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//7/20/2012 12:57:08 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//7/20/2012 12:57:09 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//7/20/2012 12:57:09 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//7/20/2012 12:57:10 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//7/20/2012 12:57:10 AM
