CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_U|CAFKU|E4383|AIQ|20130325105552|FKU-1A|||//3/27/2013 12:28:47 AM
CAD_U|CAFKU|E4383|AIQ|20130325105552|FKU-1A|||//3/27/2013 12:28:47 AM
CAD_U|CAFKU|MIR1|AIQ|20130311074754|FKU-2|||//3/27/2013 12:28:48 AM
CAD_U|CAFKU|MIR1|AIQ|20130311074754|FKU-2|||//3/27/2013 12:28:48 AM
CAD_U|CAFKU|MIR1|AIQ|20130311074754|FKU-2|||//3/27/2013 12:28:48 AM
CAD_U|CAFKU|MIR2|AIQ|20130325094131|FKU-2|||//3/27/2013 12:28:49 AM
CAD_U|CAFKU|MIR2|AIQ|20130325094131|FKU-2|||//3/27/2013 12:28:49 AM
CAD_U|CAFKU|MIR2|AIQ|20130325094131|FKU-2|||//3/27/2013 12:28:49 AM
CAD_U|CAFKU|MIR3|AIQ|20130318082617|FKU-1A|||//3/27/2013 12:28:50 AM
CAD_U|CAFKU|MIR3|AIQ|20130318082617|FKU-1A|||//3/27/2013 12:28:50 AM
CAD_U|CAFKU|MIR3|AIQ|20130318082617|FKU-1A|||//3/27/2013 12:28:50 AM
CAD_U|CAFKU|MIR4|AIQ|20130325094137|FKU-2|||//3/27/2013 12:28:51 AM
CAD_U|CAFKU|MIR4|AIQ|20130325094137|FKU-2|||//3/27/2013 12:28:51 AM
CAD_U|CAFKU|MIR4|AIQ|20130325094137|FKU-2|||//3/27/2013 12:28:51 AM
CAD_U|CACDF|AA460|AIQ|20110708114536|HAAB|||//3/27/2013 1:00:02 AM
CAD_U|CASLC|AIRPMGR|AIQ|20130312114431|A-36A|||//3/27/2013 1:00:03 AM
CAD_U|CACDF|AA460|AIQ|20110708114536|HAAB|||//3/27/2013 1:00:03 AM
CAD_U|CASLU|AMB-X1|AIQ|20130324064044|A-36H|||//3/27/2013 1:00:04 AM
CAD_U|CASLC|AIRPMGR|AIQ|20130312114431|A-36A|||//3/27/2013 1:00:04 AM
CAD_U|CASLU|AMB-X2|AIQ|20121127134633|A-36H|||//3/27/2013 1:00:05 AM
CAD_U|CASLU|AMB-X1|AIQ|20130324064044|A-36H|||//3/27/2013 1:00:05 AM
CAD_U|CASBY|B15|AIQ|20130119131401|B-15A|||//3/27/2013 1:00:06 AM
CAD_U|CASLU|AMB-X2|AIQ|20121127134633|A-36H|||//3/27/2013 1:00:07 AM
CAD_U|CASLC|B21|AIQ|20120612195404|A-22A|||//3/27/2013 1:00:07 AM
CAD_U|CASBY|B15|AIQ|20130119131401|B-15A|||//3/27/2013 1:00:08 AM
CAD_U|CASLC|B33|AIQ|20130303135409|NACI1A|||//3/27/2013 1:00:08 AM
CAD_U|CASLC|B21|AIQ|20120612195404|A-22A|||//3/27/2013 1:00:09 AM
CAD_U|CASLC|B34|AIQ|20130303135409|NACI4A|||//3/27/2013 1:00:09 AM
CAD_U|CASLC|B33|AIQ|20130303135409|NACI1A|||//3/27/2013 1:00:10 AM
CAD_U|CASLU|B3414|AIQ|20130325071016|K-11B|||//3/27/2013 1:00:10 AM
CAD_U|CASLC|B34|AIQ|20130303135409|NACI4A|||//3/27/2013 1:00:11 AM
CAD_U|CASLU|B3419|AIQ|20130325074312|A-22B|||//3/27/2013 1:00:11 AM
CAD_U|CASLU|B3419|AIQ|20130326164756|K-11B|||//3/27/2013 1:00:12 AM
CAD_U|CASLC|B62|AIQ|20130324172753|A-24C|||//3/27/2013 1:00:12 AM
CAD_U|CASLC|B62|AIQ|20130324172753|A-24C|||//3/27/2013 1:00:13 AM
CAD_U|CAPSM|B64|AIQ|20130324175234|A-32M|||//3/27/2013 1:00:13 AM
CAD_U|CAPSM|B64|AIQ|20130324175234|A-32M|||//3/27/2013 1:00:14 AM
CAD_U|CALPF|BLPF|AIQ|20130303085044|166-K|||//3/27/2013 1:00:14 AM
CAD_U|CALPF|BLPF|AIQ|20130303085044|166-K|||//3/27/2013 1:00:15 AM
CAD_U|CAPRF|BPRF|AIQ|20130320174249|R-14B|||//3/27/2013 1:00:16 AM
CAD_U|CAPRF|BPRF|AIQ|20130320174249|R-14B|||//3/27/2013 1:00:16 AM
CAD_U|CASLC|BS62|AIQ|20130324065300|A-24C|||//3/27/2013 1:00:17 AM
CAD_U|CASLC|BS62|AIQ|20130325161322|A-24C|||//3/27/2013 1:00:17 AM
CAD_U|CAAYG|BS6655|AIQ|20120905123357|E-7G|||//3/27/2013 1:00:18 AM
CAD_U|CAAYG|BS6655|AIQ|20120905123357|E-7G|||//3/27/2013 1:00:18 AM
CAD_U|CATEM|BS7145|AIQ|20130112134235|T-5B|||//3/27/2013 1:00:19 AM
CAD_U|CATEM|BS7145|AIQ|20130112134235|T-5B|||//3/27/2013 1:00:19 AM
